,台積電,聯發科,穩懋,愛普,立積,世芯-KY,義隆,旺宏,環球晶,矽力-KY,南亞科,譜瑞-KY,精測,瑞昱,信驊,祥碩,神盾,聯電,嘉晶,宏捷科
台積電,1.0000001192092896,0.36735644936561584,0.34584376215934753,0.016032012179493904,0.14643728733062744,0.07992234081029892,-0.019640974700450897,0.008874726481735706,0.149844691157341,-0.0449335016310215,0.08740422874689102,0.004446816630661488,0.10569015145301819,0.1939583420753479,-0.021088862791657448,-0.06469868868589401,0.23916184902191162,0.3548756539821625,-0.04753757268190384,0.3511416018009186
聯發科,0.36735644936561584,1.0,0.6278925538063049,0.48835790157318115,0.6834204196929932,0.5204276442527771,0.43034669756889343,0.21763604879379272,0.505728542804718,0.5002377033233643,0.5484340190887451,0.45466679334640503,0.45897018909454346,0.7379282116889954,0.5217692255973816,0.38153785467147827,0.3901135325431824,0.5527858734130859,0.37690305709838867,0.5833427906036377
穩懋,0.34584376215934753,0.6278925538063049,0.9999999403953552,0.7100751996040344,0.8711249232292175,0.7750871181488037,0.6498907804489136,0.4290432333946228,0.6357433199882507,0.7013043761253357,0.7485899925231934,0.7201443910598755,0.7778211236000061,0.832614541053772,0.7402678728103638,0.693063497543335,0.6783007383346558,0.850253701210022,0.6903960108757019,0.9335569739341736
愛普,0.016032012179493904,0.48835790157318115,0.7100751996040344,0.9999999403953552,0.8776353001594543,0.9652603268623352,0.878830075263977,0.7040334343910217,0.7449450492858887,0.8834190368652344,0.9439190030097961,0.9550337195396423,0.9352987408638,0.9000805616378784,0.8803101778030396,0.8784626722335815,0.7804204225540161,0.828636884689331,0.9668189287185669,0.7360559701919556
立積,0.14643728733062744,0.6834204196929932,0.8711249232292175,0.8776353001594543,1.0,0.9273435473442078,0.8531079888343811,0.44155555963516235,0.6785982847213745,0.8801352977752686,0.8916760087013245,0.90375155210495,0.8405309915542603,0.9599814414978027,0.9007012248039246,0.8394846320152283,0.6642162799835205,0.7959466576576233,0.8672963380813599,0.8626179695129395
世芯-KY,0.07992234081029892,0.5204276442527771,0.7750871181488037,0.9652603268623352,0.9273435473442078,1.0,0.8837172389030457,0.6050941348075867,0.6922421455383301,0.9127686023712158,0.9586735963821411,0.9730230569839478,0.9263375997543335,0.9381908774375916,0.9011750221252441,0.8942316770553589,0.7962235808372498,0.8388151526451111,0.963419497013092,0.779161810874939
義隆,-0.019640974700450897,0.43034669756889343,0.6498907804489136,0.878830075263977,0.8531079888343811,0.8837172389030457,0.9999999403953552,0.4898691475391388,0.7421437501907349,0.8951331973075867,0.8375421762466431,0.9410994052886963,0.8802661299705505,0.8348767757415771,0.9231281280517578,0.9090721011161804,0.697436511516571,0.6737172603607178,0.9269251823425293,0.7071201205253601
旺宏,0.008874726481735706,0.21763604879379272,0.4290432333946228,0.7040334343910217,0.44155555963516235,0.6050941348075867,0.4898691475391388,1.0,0.5032112002372742,0.5575469732284546,0.7111828327178955,0.5739971995353699,0.6801316142082214,0.5038782358169556,0.5263984203338623,0.5603567361831665,0.5516050457954407,0.7432222962379456,0.6393904089927673,0.35855525732040405
環球晶,0.149844691157341,0.505728542804718,0.6357433199882507,0.7449450492858887,0.6785982847213745,0.6922421455383301,0.7421437501907349,0.5032112002372742,1.0,0.6925457119941711,0.635064959526062,0.7064090371131897,0.7270792126655579,0.719099223613739,0.7040364146232605,0.6968223452568054,0.673281729221344,0.6383612155914307,0.7038511633872986,0.7237086296081543
矽力-KY,-0.0449335016310215,0.5002377033233643,0.7013043761253357,0.8834190368652344,0.8801352977752686,0.9127686023712158,0.8951331973075867,0.5575469732284546,0.6925457119941711,1.0,0.898792028427124,0.9452090263366699,0.8307636976242065,0.8705986142158508,0.9661043882369995,0.9595373868942261,0.6020903587341309,0.7204023599624634,0.9076302647590637,0.6469677090644836
南亞科,0.08740422874689102,0.5484340190887451,0.7485899925231934,0.9439190030097961,0.8916760087013245,0.9586735963821411,0.8375421762466431,0.7111828327178955,0.635064959526062,0.898792028427124,1.0,0.9371697306632996,0.9061789512634277,0.9087265729904175,0.8964791893959045,0.8858744502067566,0.7178363800048828,0.8801533579826355,0.9279017448425293,0.7266427874565125
譜瑞-KY,0.004446816630661488,0.45466679334640503,0.7201443910598755,0.9550337195396423,0.90375155210495,0.9730230569839478,0.9410994052886963,0.5739971995353699,0.7064090371131897,0.9452090263366699,0.9371697306632996,1.0,0.9244191646575928,0.890857458114624,0.949143648147583,0.9563917517662048,0.729796826839447,0.7717233300209045,0.9842647910118103,0.7433223128318787
精測,0.10569015145301819,0.45897018909454346,0.7778211236000061,0.9352987408638,0.8405309915542603,0.9263375997543335,0.8802661299705505,0.6801316142082214,0.7270792126655579,0.8307636976242065,0.9061789512634277,0.9244191646575928,1.0,0.8514229655265808,0.8627163171768188,0.8618162870407104,0.8607775568962097,0.853223979473114,0.9412126541137695,0.8007280826568604
瑞昱,0.1939583420753479,0.7379282116889954,0.832614541053772,0.9000805616378784,0.9599814414978027,0.9381908774375916,0.8348767757415771,0.5038782358169556,0.719099223613739,0.8705986142158508,0.9087265729904175,0.890857458114624,0.8514229655265808,1.0,0.8790434002876282,0.8121852874755859,0.7555443644523621,0.8419037461280823,0.8580206036567688,0.8156794905662537
信驊,-0.021088862791657448,0.5217692255973816,0.7402678728103638,0.8803101778030396,0.9007012248039246,0.9011750221252441,0.9231281280517578,0.5263984203338623,0.7040364146232605,0.9661043882369995,0.8964791893959045,0.949143648147583,0.8627163171768188,0.8790434002876282,1.0,0.9716951251029968,0.6082412600517273,0.7329410314559937,0.9217910170555115,0.7269118428230286
祥碩,-0.06469868868589401,0.38153785467147827,0.693063497543335,0.8784626722335815,0.8394846320152283,0.8942316770553589,0.9090721011161804,0.5603567361831665,0.6968223452568054,0.9595373868942261,0.8858744502067566,0.9563917517662048,0.8618162870407104,0.8121852874755859,0.9716951251029968,1.0,0.6148608922958374,0.7217384576797485,0.932729184627533,0.684890866279602
神盾,0.23916184902191162,0.3901135325431824,0.6783007383346558,0.7804204225540161,0.6642162799835205,0.7962235808372498,0.697436511516571,0.5516050457954407,0.673281729221344,0.6020903587341309,0.7178363800048828,0.729796826839447,0.8607775568962097,0.7555443644523621,0.6082412600517273,0.6148608922958374,1.0,0.7743067741394043,0.7488724589347839,0.7147151231765747
聯電,0.3548756539821625,0.5527858734130859,0.850253701210022,0.828636884689331,0.7959466576576233,0.8388151526451111,0.6737172603607178,0.7432222962379456,0.6383612155914307,0.7204023599624634,0.8801533579826355,0.7717233300209045,0.853223979473114,0.8419037461280823,0.7329410314559937,0.7217384576797485,0.7743067741394043,1.0,0.7764763236045837,0.7895393967628479
嘉晶,-0.04753757268190384,0.37690305709838867,0.6903960108757019,0.9668189287185669,0.8672963380813599,0.963419497013092,0.9269251823425293,0.6393904089927673,0.7038511633872986,0.9076302647590637,0.9279017448425293,0.9842647910118103,0.9412126541137695,0.8580206036567688,0.9217910170555115,0.932729184627533,0.7488724589347839,0.7764763236045837,1.0,0.7271639704704285
宏捷科,0.3511416018009186,0.5833427906036377,0.9335569739341736,0.7360559701919556,0.8626179695129395,0.779161810874939,0.7071201205253601,0.35855525732040405,0.7237086296081543,0.6469677090644836,0.7266427874565125,0.7433223128318787,0.8007280826568604,0.8156794905662537,0.7269118428230286,0.684890866279602,0.7147151231765747,0.7895393967628479,0.7271639704704285,1.0
